kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.243**2,0.082196655341921,0.286699590759947,-630.831683060048817,0.219392342619336,-0.382600739288092,-0.707698571498159,-123.996994085468017
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000001183590539,0.001087929473151,-636.227672458175448,0.001080982428126,0.999967697645559,0.999975409998576,0.998993425154013
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.055468867945961,0.235518296414443,-631.586330749020931,0.219392342619336,-0.003022767524902,-0.152408284253241,-78.871103540461306
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.055461425859798,0.235502496504385,-631.586331979239276,0.219377350013321,-0.002882704738121,-0.152253669204033,-78.860738920081744
RBF(length_scale=1),RBF(length_scale=1e+05),0.055466378886527,0.235513012138453,-631.586331153132960,0.219387328661784,-0.002975950141987,-0.152356572134030,-78.867635249943220
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.055466778271088,0.235513860040312,-631.586331521720012,0.219388109742565,-0.002981398214288,-0.152364869654656,-78.868323879206827
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.191774000000000,0.437920084033605,-631.214131165508547,0.219392342619336,-2.980327868852459,-2.984251968503937,-242.331948051948189
1**2 * 1**2,0.0042**2 * 57.8**2,0.082196683332839,0.286699639575705,-630.831683060048817,0.219392342619336,-0.382601273771070,-0.707699153030959,-123.997032576688028
1**2 + 1**2,0.004**2 + 0.243**2,0.082196692804812,0.286699656094688,-630.831683060048817,0.219392342619336,-0.382601454637209,-0.707699349818463,-123.997045601903253
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.001803322305961,0.042465542572308,-630.700711571249713,0.022049909483279,0.963245915018818,0.962534595683616,-1.331310742037058
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000001183411686,0.001087847271422,-636.227710268530018,0.001080900754957,0.999967702527609,0.999975413714376,0.998993577204339
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.243**2 * ExpSineSquared(length_scale=1e+05, periodicity=1e+05)",0.082196498000810,0.286699316359160,-630.831683060054047,0.219392342619335,-0.382597734882694,-0.707695302615868,-123.996777720416830
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=4.67e+04, periodicity=3.89e+04)",0.055468851942412,0.235518262439269,-631.586335159493956,0.219392342618736,-0.003022708990127,-0.152407951767232,-78.871065719635055
"1**2 * Matern(length_scale=1, nu=1.5)","0.243**2 * Matern(length_scale=1e+05, nu=1.5)",0.082196353160202,0.286699063758851,-630.831683192374612,0.219391680042973,-0.382593292270642,-0.707692293441126,-123.996685884374088
